variant,time_s,height_env_mean_m
direct_mlp,5.010000000000001,0.24201573245227337
direct_mlp,5.0600000000000005,0.24201584048569202
direct_mlp,5.11,0.24201536364853382
direct_mlp,5.16,0.2420153934508562
direct_mlp,5.21,0.24201497435569763
direct_mlp,5.260000000000001,0.24201470240950584
direct_mlp,5.3100000000000005,0.2420135773718357
direct_mlp,5.36,0.2420124188065529
direct_mlp,5.41,0.24201258085668087
direct_mlp,5.46,0.24201314337551594
direct_mlp,5.510000000000001,0.2420143187046051
direct_mlp,5.5600000000000005,0.24201534502208233
direct_mlp,5.61,0.24201500415802002
direct_mlp,5.66,0.2420132663100958
direct_mlp,5.71,0.2420116513967514
direct_mlp,5.760000000000001,0.24201021529734135
direct_mlp,5.8100000000000005,0.24201045371592045
direct_mlp,5.86,0.24201205745339394
direct_mlp,5.91,0.24201477505266666
direct_mlp,5.96,0.24201778508722782
direct_mlp,6.010000000000001,0.242019547149539
direct_mlp,6.0600000000000005,0.24201904609799385
direct_mlp,6.11,0.24201714433729649
direct_mlp,6.16,0.2420145981013775
direct_mlp,6.21,0.24201183952391148
direct_mlp,6.260000000000001,0.2420095857232809
direct_mlp,6.3100000000000005,0.24200997687876225
direct_mlp,6.36,0.24201067350804806
direct_mlp,6.41,0.24201238714158535
direct_mlp,6.46,0.24201508425176144
direct_mlp,6.510000000000001,0.24201680347323418
direct_mlp,6.5600000000000005,0.24201655201613903
direct_mlp,6.61,0.24201439321041107
direct_mlp,6.66,0.24201208353042603
direct_mlp,6.71,0.24201024137437344
direct_mlp,6.760000000000001,0.2420092336833477
direct_mlp,6.8100000000000005,0.24200903438031673
direct_mlp,6.86,0.2420096956193447
direct_mlp,6.91,0.24201049841940403
direct_mlp,6.96,0.24201068468391895
direct_mlp,7.010000000000001,0.24201025441288948
direct_mlp,7.0600000000000005,0.24200965650379658
direct_mlp,7.11,0.24200953543186188
direct_mlp,7.16,0.242009149864316
direct_mlp,7.21,0.2420084048062563
direct_mlp,7.260000000000001,0.24200785718858242
