variant,seed,scenario,command_vx_m_s,command_wz_rad_s,command_height_m,actual_vx_m_s,actual_height_m,height_bias_mm,vx_full_interval_mae_m_s
gated_attention,1011,stand_low,0,0,0.28,0.00035764432355988923,0.24843371225345992,-31.566287746540105,0.004251733014932001
gated_attention,1011,stand_mid,0,0,0.3,0.00031393190917342224,0.24857316874713117,-51.426831252868816,0.0042554119836253545
gated_attention,1011,stand_high,0,0,0.32,0.0004356018351117768,0.2487990609731623,-71.20093902683772,0.004279687888685782
gated_attention,1011,forward,0.5,0,0.3,0.0009284678985339023,0.24502457291128044,-54.97542708871957,0.500178277850151
gated_attention,1011,reverse,-0.5,0,0.3,-0.00036559097588950706,0.2530671805603064,-46.932819439693596,0.497227575968951
gated_attention,1011,turn_left,0,1,0.3,0.00032003630523956116,0.2483811671940352,-51.61883280596481,0.004209211407874921
gated_attention,1011,turn_right,0,-1,0.3,-0.00019255951309023105,0.25292620896970053,-47.073791030299475,0.004853585480009485
gated_attention,1022,stand_low,0,0,0.28,-0.0003767572863367843,0.195337120008351,-84.66287999164904,0.009176690592957584
gated_attention,1022,stand_mid,0,0,0.3,-0.00037045741958889887,0.19545028850336812,-104.54971149663186,0.009166960086562682
gated_attention,1022,stand_high,0,0,0.32,-0.0003678253346366575,0.19558804595404988,-124.41195404595011,0.009107182951977762
gated_attention,1022,forward,0.5,0,0.3,-0.00020304391613090722,0.19627261053648606,-103.72738946351393,0.5077319223172962
gated_attention,1022,reverse,-0.5,0,0.3,0.0003815429319339314,0.19561197622831886,-104.38802377168113,0.4938790575824678
gated_attention,1022,turn_left,0,1,0.3,-6.201881994086278e-06,0.19394516585132784,-106.05483414867214,0.00877862486958952
gated_attention,1022,turn_right,0,-1,0.3,-0.00021157803358539507,0.19387069995814799,-106.12930004185202,0.009061784635680028
gated_attention,1033,stand_low,0,0,0.28,-0.0004155547379278427,0.18871926065764205,-91.28073934235798,0.003338469795225137
gated_attention,1033,stand_mid,0,0,0.3,-0.00036286853344077037,0.1887068263600358,-111.2931736399642,0.0033039851031780925
gated_attention,1033,stand_high,0,0,0.32,-0.00046620837178111806,0.18865240469028244,-131.34759530971758,0.003488416774154757
gated_attention,1033,forward,0.5,0,0.3,-0.001968727062450326,0.18665276704943135,-113.34723295056865,0.5018533776178956
gated_attention,1033,reverse,-0.5,0,0.3,-0.0009088015567930152,0.19066837736927783,-109.33162263072217,0.4988375227563083
gated_attention,1033,turn_left,0,1,0.3,-0.00012471290318352753,0.19881471939915052,-101.18528060084948,0.002935026208851468
gated_attention,1033,turn_right,0,-1,0.3,-0.0029120234783046183,0.18331354902606825,-116.68645097393174,0.004757223824241919
supervised_attention,1011,stand_low,0,0,0.28,-0.001224877232092073,0.23213655393162724,-47.863446068372774,0.004593044308745761
supervised_attention,1011,stand_mid,0,0,0.3,-0.000884635335556588,0.23155463510040214,-68.44536489959786,0.004181992505663061
supervised_attention,1011,stand_high,0,0,0.32,-0.0005687177231261053,0.23099379160620065,-89.00620839379937,0.0037957290766543112
