variant,training_seed,scenario,evaluation_seed,height_command_m,height_signed_bias_mm,height_within_episode_std_mm,vx_signed_error_m_s,wz_signed_error_rad_s,height_full_interval_mae_mm,planar_speed_full_interval_m_s,tilt_full_interval_rad,nonwheel_netforce_full_interval_N,vx_full_interval_mae_m_s,wz_full_interval_mae_rad_s,terminated_count,truncated_count,done_count,steady_coverage,steady_samples,steady_segments,short_segments,short_retained_samples,reward_mean_diagnostic,leg_target_derivative_rms_rad_s,wheel_target_derivative_rms_rad_s2,leg_effort_derivative_rms_Nm_s,wheel_effort_derivative_rms_Nm_s
index_attention,1022,turn_left,301,0.3,-94.9424367714849,0.0016537315673966976,0.000186802949142063,-0.9997088942198439,92.89460726920515,0.01157356470795503,0.2761897474345751,49.235244238734246,0.010610107429793061,0.9953625114746392,0,8,8,0.8995,14392,8,8,0,0.01711444221061902,0.00021162404061501414,0.001783620493252929,0.09232568194475888,0.5226398424947849
index_attention,1022,turn_right,301,0.3,-77.18665204660607,0.0010544431372217823,-0.0005723181624602618,1.0002714522253338,74.2732995999977,0.013434050645468232,0.33121152320870895,57.7084254090786,0.0113987439585826,1.0134840489961208,0,8,8,0.8995,14392,8,8,0,0.01609895907646569,0.0008429047206983927,0.011821105864956905,0.12985405258565105,0.3080390143038556
index_attention,1033,stand_low,301,0.28,-21.819099661722802,0.06000086364137547,0.002712868353638267,-0.013009518413924066,21.76327670365572,0.02175746041282582,0.17379822589154356,1669.2655668411255,0.01277512364384529,0.03888331649531028,0,8,8,0.8995,14392,8,8,0,0.04017064761300571,0.026257902103466273,0.28844334398943977,14.689672189302437,10.855086387555335
index_attention,1033,stand_mid,301,0.3,-42.3378594190694,0.07825415403967921,-0.03148612108461048,-0.17372010405143795,42.10332729574293,0.039046390899675314,0.19689052087115125,1719.456727493286,0.03746824448596908,0.18426281167345587,0,8,8,0.8995,14392,8,8,0,0.029767554632329846,0.010577096852295971,0.14682658903185636,3.4272336613422167,2.798409622475674
index_attention,1033,stand_high,301,0.32,-62.39046240272026,0.09300825814599943,-0.027381003337879805,-0.15551351047301343,62.01124401111156,0.03698970572357939,0.210640715403948,1376.6696763000489,0.03456040366422167,0.16583943402270962,0,8,8,0.8995,14392,8,8,0,0.027259672376560046,0.048223309349491185,0.7107127741274377,15.488686213730098,21.31092243022394
index_attention,1033,forward,301,0.3,-44.32734688863018,0.028574736256792282,-0.5252966772435672,-0.1472918658298319,44.049458557739854,0.03556437490666212,0.20745116640545894,1755.2245852279664,0.5264408294335008,0.1568890051264607,0,8,8,0.8995,14392,8,8,0,0.016221243243354364,0.017427418582427724,0.20614555034835388,7.532644295281717,6.547409082098199
index_attention,1033,reverse,301,0.3,-43.00205324832899,0.2226520774761127,0.4416407191170263,-0.2481206231069788,42.73959019035101,0.06540368750528433,0.2232171574055683,1628.7109904632568,0.43972935518808665,0.25974472119117853,0,8,8,0.8995,14392,8,8,0,0.017505732759618694,0.2311629168154945,2.9741867235035437,39.400610470326654,88.27187407086257
index_attention,1033,turn_left,301,0.3,-44.625403865832226,0.22345321641998322,0.30536929941039864,0.5223000559245565,44.3840690786019,0.3069455443698971,0.2708393207130721,1421.8028350906372,0.30134177896336767,0.5257223950587213,0,8,8,0.8995,14392,8,8,0,0.016576944642991292,0.09229971473071191,0.5419699141303603,31.29633111897618,56.09627900493643
index_attention,1033,turn_right,301,0.3,-52.837513008254824,0.21409291800860542,-0.2661495286900927,-0.6186603801226599,52.59917616844177,0.2726901772040874,0.26977447163220497,1227.8553549613953,0.2653666317495517,0.6256784074343741,0,8,8,0.8995,14392,8,8,0,0.015407301464234479,0.12461812523221864,2.1027809779149345,48.91146338490747,90.70121140280116
gated_attention,1011,stand_low,301,0.28,-31.566287746540105,0.3184677340460582,0.00035764432355988923,1.3349140049642253e-05,31.315366791561246,0.006350691772075265,0.18141917507816105,67.14920564365387,0.004251733014932001,0.010516031275649993,0,8,8,0.8995,14392,8,8,0,0.03498341687099309,0.0021069978797092306,0.005577891324369065,1.4808890028233135,4.1992811639511665
gated_attention,1011,stand_mid,301,0.3,-51.426831252868816,0.31419176536676424,0.00031393190917342224,-0.00018925049771129413,50.897960032336414,0.0063416132890812375,0.18288982741255314,67.18933501553535,0.0042554119836253545,0.010761710540637836,0,8,8,0.8995,14392,8,8,0,0.029428518127242568,0.0020406900600624177,0.0051266863143902925,1.4210968241387576,4.37789155210361
gated_attention,1011,stand_high,301,0.32,-71.20093902683772,0.42746101685278187,0.0004356018351117768,-0.00028789312341094195,70.44703387096524,0.0063389313185022896,0.18249019148852677,67.62139464712143,0.004279687888685782,0.010656721252499664,0,8,8,0.8995,14392,8,8,0,0.028438753503287444,0.0029463282372352295,0.006556011376062592,1.3613701137444014,6.089339224654867
gated_attention,1011,forward,301,0.3,-54.97542708871957,0.9027330963487076,-0.4990715321014661,0.003472407023038585,54.30038701929152,0.006583146795414905,0.1783524941522628,67.37003001236916,0.500178277850151,0.013497881074709497,0,8,8,0.8995,14392,8,8,0,0.01654934959244565,0.0013531116304984847,0.00769189225117288,1.1391129978101968,4.651144442720264
gated_attention,1011,reverse,301,0.3,-46.932819439693596,0.2193257008006027,0.4996344090241105,-0.0024071768621839796,46.64045564737171,0.007159030959207712,0.12878366563189775,65.40464665818214,0.497227575968951,0.012467309765790219,0,8,8,0.8995,14392,8,8,0,0.018226128147769485,0.0012584118168152845,0.005481677837215296,1.2190375289418944,7.136042439413473
gated_attention,1011,turn_left,301,0.3,-51.61883280596481,0.3087752596892698,0.00032003630523956116,-0.9998787357748847,51.08030384685844,0.006331952801429765,0.183394494519569,67.2535496931076,0.004209211407874921,0.999041327867657,0,8,8,0.8995,14392,8,8,0,0.019702842599188444,0.001999527646205642,0.0027728044195546196,1.5171567825270738,4.326737666173151
