stage,variant,train_seed,height,status,metric,value,n,mean,sample_std
stage-b,baseline,22,,completed,optimization.last_update.planned_optimizer_steps,8,,,
stage-b,baseline,22,,completed,optimization.last_update.sample_count,4096,,,
stage-b,baseline,22,,completed,optimization.last_update.early_stopped,True,,,
stage-b,baseline,22,,completed,optimization.last_update.stop_kl,0.023151865229010582,,,
stage-b,baseline,22,,completed,optimization.last_update.initial_mean_abs,0.9207854834610695,,,
stage-b,baseline,22,,completed,optimization.last_update.initial_std_mean,0.20029311875502268,,,
stage-b,baseline,22,,completed,optimization.last_update.initial_std_min,0.20006617903709412,,,
stage-b,baseline,22,,completed,optimization.last_update.initial_std_max,0.2005515992641449,,,
stage-b,baseline,22,,completed,optimization.last_update.first_step_kl,0.023176911302731088,,,
stage-b,baseline,22,,completed,optimization.last_update.first_step_mean_kl,0.02317690724969857,,,
stage-b,baseline,22,,completed,optimization.last_update.first_step_std_kl,4.05303251862173e-09,,,
stage-b,baseline,22,,completed,optimization.last_update.first_step_mean_change_rms,0.01759762721267751,,,
stage-b,baseline,22,,completed,optimization.last_update.first_step_normalized_mean_change_rms,0.08789656247996418,,,
stage-b,baseline,22,,completed,optimization.last_update.final_kl,0.023176911302731088,,,
stage-b,baseline,22,,completed,optimization.last_update.final_mean_kl,0.02317690724969857,,,
stage-b,baseline,22,,completed,optimization.last_update.final_std_kl,4.05303251862173e-09,,,
stage-b,baseline,22,,completed,optimization.last_update.final_mean_change_rms,0.01759762721267751,,,
stage-b,baseline,22,,completed,optimization.last_update.final_std_mean,0.2002975692351659,,,
stage-b,baseline,22,,completed,optimization.step_utilization,0.14375,,,
stage-b,baseline,33,,completed,learning_rate,0.0001,,,
stage-b,baseline,33,,completed,mean_init_scale,1.0,,,
stage-b,baseline,33,,completed,initial_std,0.2,,,
stage-b,baseline,33,,completed,sampled_training_rss_peak_mib,4731.84375,,,
stage-b,baseline,33,,completed,optimization.updates_observed,80,,,
stage-b,baseline,33,,completed,optimization.actual_optimizer_steps,102,,,
stage-b,baseline,33,,completed,optimization.planned_optimizer_steps,640,,,
stage-b,baseline,33,,completed,optimization.early_stopped_updates,79,,,
stage-b,baseline,33,,completed,optimization.first_update.actor_loss,0.04225626215338707,,,
stage-b,baseline,33,,completed,optimization.first_update.value_loss,0.0120488116517663,,,
stage-b,baseline,33,,completed,optimization.first_update.entropy,-1.1429965496063232,,,
stage-b,baseline,33,,completed,optimization.first_update.kl,0.0,,,
stage-b,baseline,33,,completed,optimization.first_update.clip_fraction,0.0,,,
